Timestamp_ms,CO2_ppm
RTC_ERR,7190032,661,0.00
RTC_ERR,7790032,660,0.00
RTC_ERR,8390032,692,0.00
RTC_ERR,8990032,683,0.00
RTC_ERR,9590032,700,0.00
RTC_ERR,10190032,711,0.00
RTC_ERR,10790032,715,0.00
RTC_ERR,11390032,729,0.00
RTC_ERR,12590032,708,0.00
RTC_ERR,13190032,759,0.00
RTC_ERR,13790032,776,0.00
RTC_ERR,14390032,737,0.00
RTC_ERR,14990032,693,0.00
RTC_ERR,15590032,722,0.00
RTC_ERR,16190032,731,0.00
RTC_ERR,16790032,793,0.00
RTC_ERR,17990032,588,0.00
RTC_ERR,18590032,506,0.00
RTC_ERR,19190032,472,0.00
RTC_ERR,19790032,420,0.00
RTC_ERR,20390032,398,0.00
RTC_ERR,20990032,435,0.00
RTC_ERR,21590032,359,0.00
RTC_ERR,22190032,367,0.00
RTC_ERR,22790032,361,0.00
RTC_ERR,20031,621,0.00
RTC_ERR,30032,631,0.00
RTC_ERR,40032,623,0.00
RTC_ERR,50032,671,0.00
RTC_ERR,60032,755,0.00
RTC_ERR,70032,896,0.00
RTC_ERR,80032,929,0.00
RTC_ERR,90032,919,0.00
RTC_ERR,100032,901,0.00
RTC_ERR,110032,969,0.00
RTC_ERR,120032,1206,0.00
RTC_ERR,130032,1246,0.00
RTC_ERR,140032,1225,0.00
RTC_ERR,150032,1188,0.00
RTC_ERR,160032,1150,0.00
RTC_ERR,170032,1094,0.00
RTC_ERR,180032,1058,0.00
RTC_ERR,190032,1026,0.00
RTC_ERR,200032,970,0.00
RTC_ERR,210032,918,0.00
RTC_ERR,220032,886,0.00
RTC_ERR,230032,863,0.00
RTC_ERR,240032,841,0.00
RTC_ERR,250032,821,0.00
RTC_ERR,260032,805,0.00
RTC_ERR,270032,787,0.00
RTC_ERR,280032,772,0.00
RTC_ERR,290032,755,0.00
RTC_ERR,300032,739,0.00
RTC_ERR,310032,724,0.00
RTC_ERR,320032,715,0.00
RTC_ERR,330032,706,0.00
RTC_ERR,340032,698,0.00
RTC_ERR,350032,692,0.00
RTC_ERR,360032,688,0.00
RTC_ERR,370032,683,0.00
RTC_ERR,380032,679,0.00
